n,ns_limb
2048,20.7681
2139,23.1145
2233,21.8065
2332,20.9789
2435,20.1191
2543,22.2674
2656,21.9517
2774,21.4607
2896,21.0720
3025,20.8961
3158,21.1559
3298,21.1094
3444,21.0471
3597,19.4497
3756,19.7090
3922,20.0851
4096,21.3666
4277,23.6587
4467,24.2706
4664,23.1321
4871,22.3339
5087,22.9440
5312,22.0279
5547,21.6372
5793,21.3601
6049,21.1189
6317,21.2580
6597,21.1831
6889,21.3188
7194,20.5929
7512,20.8052
7845,20.2780
8192,20.1027
8555,23.2086
8933,22.8432
9329,22.6319
9742,21.7990
10173,21.6998
10624,21.9178
11094,21.5301
11585,21.2120
12098,21.0354
12634,21.7456
13193,21.1695
13777,21.1802
14387,21.0476
15024,20.8061
15689,20.7195
16384,20.3591
17109,23.3288
17867,22.9477
18658,22.8316
19484,22.3800
20347,22.3152
21247,22.6571
22188,22.0981
23170,21.8529
24196,21.6524
25268,21.8554
26386,21.5392
27554,21.3669
28774,21.6720
30048,21.4239
31379,21.1419
32768,22.3430
34219,25.3387
35734,25.0180
37316,24.9407
38968,24.6026
40693,24.2464
42495,24.1414
44376,23.7622
46341,23.5447
48393,23.3129
50535,23.5584
52773,23.2899
55109,23.0659
57549,22.9825
60097,22.6968
62757,22.5425
65536,21.9665
68438,25.4823
71468,25.0782
74632,24.9069
77936,24.6934
81386,24.3279
84990,24.2135
88752,24.1128
92682,23.8380
96785,23.5503
101070,24.2791
105545,24.0358
110218,23.8148
115098,23.8121
120194,23.5026
125515,23.2664
131072,23.0905
136875,28.8658
142935,28.3912
149263,28.0540
155872,27.9793
162773,27.8520
169979,27.8585
177505,27.3833
185364,27.1825
193571,26.9732
202141,26.9035
211090,26.8930
220436,26.7910
230195,27.3555
240387,26.7937
251030,26.6598
262144,27.4216
273750,33.5063
285870,32.6148
298527,32.4795
311744,32.1024
325546,31.6502
339959,31.2857
355010,31.1014
370728,30.6002
387141,30.2085
404281,32.2257
422180,31.6434
440872,31.2111
460391,31.0595
480774,30.6538
502060,30.4572
524288,29.3132
547500,39.2241
571740,38.6003
597053,38.1297
623487,38.0515
651091,37.0837
679917,37.2231
710020,36.6988
741455,36.3245
774282,35.7239
808563,33.2082
844361,32.6106
881744,32.4942
920782,32.5950
961548,32.4037
1004120,31.9856
1048576,31.3701
1095000,43.0553
1143480,42.0033
1194106,41.8153
1246974,41.5322
1302182,40.5663
1359835,40.4900
1420040,39.8818
1482910,40.0373
1548564,39.4534
1617125,34.9727
1688722,34.3700
1763488,34.4076
1841564,34.2268
1923097,34.0643
2008240,33.5973
2097152,33.0357
