n,ns_limb
2048,20.8004
2139,22.4151
2233,21.1389
2332,20.3515
2435,19.5109
2543,21.7233
2656,21.4199
2774,20.9691
2896,20.5478
3025,20.3894
3158,20.5579
3298,20.4432
3444,20.4926
3597,18.9239
3756,19.1875
3922,19.5375
4096,21.1436
4277,22.6797
4467,23.2132
4664,22.2930
4871,21.4219
5087,22.1006
5312,21.5334
5547,21.1470
5793,20.9276
6049,20.6790
6317,20.9085
6597,20.8222
6889,21.0270
7194,20.2533
7512,20.4879
7845,20.0391
8192,19.9971
8555,23.5825
8933,23.2508
9329,23.0903
9742,22.1618
10173,22.0349
10624,22.2938
11094,21.8745
11585,21.5146
12098,21.3094
12634,22.0136
13193,21.4195
13777,21.4823
14387,21.2940
15024,21.0834
15689,20.9967
16384,20.5852
17109,23.3513
17867,22.9321
18658,22.7500
19484,22.5249
20347,22.4570
21247,22.5675
22188,22.1213
23170,21.8214
24196,21.5201
25268,21.7380
26386,21.4564
27554,21.3286
28774,21.6599
30048,21.3740
31379,21.1254
32768,22.2271
34219,25.2755
35734,24.9114
37316,24.8585
38968,24.5847
40693,24.2955
42495,24.1295
44376,23.8376
46341,23.6286
48393,23.3207
50535,23.5972
52773,23.2474
55109,23.1074
57549,23.0134
60097,22.7156
62757,22.5673
65536,21.9952
68438,25.5979
71468,25.2148
74632,24.9453
77936,24.7420
81386,24.4303
84990,24.3025
88752,24.1879
92682,23.7837
96785,23.6573
101070,24.2450
105545,24.1995
110218,23.9175
115098,23.8431
120194,23.4710
125515,23.2980
131072,22.9101
136875,28.4595
142935,28.0637
149263,27.9362
155872,27.6252
162773,27.5764
169979,27.5620
177505,27.2821
185364,27.0079
193571,26.7517
202141,26.7797
211090,26.7787
220436,26.5773
230195,26.8292
240387,26.4923
251030,26.3087
262144,27.0220
273750,32.8515
285870,31.9696
298527,31.9215
311744,31.5414
325546,31.0980
339959,30.9703
355010,30.4230
370728,30.3613
387141,29.6652
404281,31.7400
422180,31.5792
440872,31.1721
460391,31.0497
480774,30.7296
502060,30.3419
524288,29.3042
547500,33.8115
571740,33.5556
597053,33.3007
623487,32.8466
651091,32.4442
679917,33.1140
710020,32.8916
741455,32.6327
774282,32.5721
808563,33.2524
844361,33.0915
881744,32.6695
920782,32.6723
961548,32.3674
1004120,32.0215
1048576,31.6259
1095000,36.2118
1143480,35.7720
1194106,35.6817
1246974,35.6376
1302182,35.0055
1359835,35.5276
1420040,35.1518
1482910,34.8930
1548564,34.6604
1617125,35.1475
1688722,34.8784
1763488,34.4324
1841564,34.5756
1923097,34.1910
2008240,33.9204
2097152,33.4079
