n,ns_limb
2048,16.4753
2138,16.5439
2233,16.3750
2332,16.0096
2435,15.9910
2543,16.1685
2655,15.9283
2773,15.6883
2896,19.2048
3024,19.0275
3158,18.7580
3298,18.4591
3444,18.3433
3596,18.1724
3756,17.9540
3922,17.8402
4096,17.7436
4277,17.8087
4466,17.5043
4664,17.3973
4870,17.1820
5086,17.1625
5311,17.0468
5547,16.8016
5792,19.5103
6049,19.3920
6316,18.9012
6596,18.6627
6888,18.5096
7193,18.4088
7512,18.2482
7844,18.0526
8192,17.8313
8554,18.3310
8933,18.1122
9328,17.8585
9741,17.7603
10173,17.5121
10623,17.4971
11094,17.3312
11585,20.1407
12098,19.8163
12633,19.5152
13193,19.4095
13777,19.3601
14387,19.2187
15024,19.0174
15689,18.8482
16384,18.6174
17109,18.6792
17866,18.4840
18657,18.3564
19483,18.1254
20346,18.2113
21247,18.0258
22188,17.8795
23170,22.1980
24196,21.8540
25267,21.4926
26386,21.3542
27554,21.1096
28774,20.8578
30048,20.5115
31378,20.4230
32768,20.1776
34218,20.0998
35733,19.8985
37315,19.7973
38967,19.4802
40693,19.3602
42494,19.2736
44376,19.0512
46340,22.2120
48392,21.9518
50535,21.6704
52772,21.3613
55108,21.1970
57548,21.1241
60096,20.9812
62757,20.7402
65536,20.6975
68437,20.9840
71467,20.8552
74631,20.6853
77935,20.6321
81386,20.4028
84989,20.3683
88752,20.1881
92681,26.5465
96785,26.3975
101070,26.0762
105545,26.6886
110217,25.9846
115097,26.2564
120193,25.9653
125514,25.7977
131072,25.7408
136875,25.8789
142935,25.7398
149263,25.6316
155871,25.6353
162772,25.7407
169979,26.0331
177504,25.6453
185363,35.9622
193570,35.5521
202140,34.8223
211090,34.3490
220435,33.4309
230195,33.5289
240387,33.0473
251029,32.7569
262144,32.2669
273750,32.1045
285870,31.7351
298526,31.2987
311743,30.9316
325545,30.3119
339958,30.2547
355009,30.0297
370727,42.5423
387141,41.9718
404281,40.3947
422180,39.9719
440871,39.0673
460390,39.4712
480774,39.2543
502059,37.9353
524288,37.8503
547500,38.1959
571740,37.2533
597053,38.1094
623487,36.1481
651091,36.9259
679917,35.3663
710019,34.9443
741455,45.5475
774282,44.6730
808562,44.4616
844360,43.7600
881743,42.8766
920781,43.3308
961548,42.5388
1004119,41.3429
1048576,41.0221
1095000,42.0568
1143480,40.6244
1194106,40.4746
1246974,39.3976
1302182,39.7458
1359834,39.0997
1420039,38.5956
1482910,49.6052
1548564,48.1543
1617125,47.0809
1688721,46.3440
1763487,45.7983
1841563,45.3231
1923096,44.8709
2008239,44.3282
