n,scalar_ns,simd1_ns,simd2_ns,scalar_ns_per_limb,simd1_ns_per_limb,simd2_ns_per_limb,simd1_speedup,simd2_speedup,simd2_over_simd1
8,3.769743,4.553910,4.749210,0.471217833,0.569238741,0.593651260,0.827804,0.793762,0.958877
16,6.383373,6.231414,24.569100,0.398960789,0.389463381,1.535568781,1.024386,0.259813,0.253628
24,9.051949,8.271096,15.627359,0.377164523,0.344629007,0.651139974,1.094407,0.579237,0.529270
32,11.994718,10.657333,47.255592,0.374834949,0.333041671,1.476737238,1.125490,0.253826,0.225525
40,15.149272,12.979054,30.574085,0.378731797,0.324476355,0.764352125,1.167209,0.495494,0.424512
48,18.207977,15.153457,69.661079,0.379332860,0.315697018,1.451272482,1.201573,0.261379,0.217531
56,21.554547,17.370947,47.745242,0.384902632,0.310195479,0.852593616,1.240839,0.451449,0.363826
64,24.961919,19.781659,91.931158,0.390029988,0.309088418,1.436424345,1.261872,0.271528,0.215179
72,28.051273,22.298692,70.182986,0.389601016,0.309704056,0.974763689,1.257978,0.399688,0.317722
80,31.247105,24.490010,114.642497,0.390588814,0.306125131,1.433031212,1.275912,0.272561,0.213621
88,34.375023,26.879954,92.720232,0.390625260,0.305454028,1.053639002,1.278835,0.370739,0.289904
96,37.327739,29.153189,136.872856,0.388830618,0.303679053,1.425758915,1.280400,0.272718,0.212995
104,40.652525,31.464471,115.084471,0.390889663,0.302542995,1.106581451,1.292014,0.353241,0.273403
112,43.809915,33.683908,159.263158,0.391159958,0.300749179,1.421992481,1.300619,0.275079,0.211498
120,46.537112,35.996665,137.888465,0.387809269,0.299972209,1.149070542,1.292817,0.337498,0.261056
128,49.409280,38.295771,181.528772,0.386009996,0.299185713,1.418193529,1.290202,0.272184,0.210963
136,52.776133,40.773682,159.929302,0.388059798,0.299806486,1.175950747,1.294368,0.329997,0.254948
144,55.880196,43.161269,204.136685,0.388056916,0.299731035,1.417615867,1.294684,0.273739,0.211433
152,58.934102,45.558066,182.333313,0.387724355,0.299724119,1.199561270,1.293604,0.323222,0.249861
160,62.085581,47.702553,226.383434,0.388034880,0.298140955,1.414896461,1.301515,0.274250,0.210716
168,65.587915,50.101195,204.448666,0.390404257,0.298221400,1.216956343,1.309109,0.320804,0.245055
176,68.346916,52.391288,248.687251,0.388334750,0.297677775,1.412995746,1.304547,0.274831,0.210671
184,71.898797,54.651133,227.035563,0.390754331,0.297017026,1.233888929,1.315596,0.316685,0.240716
192,74.975595,56.885101,271.103866,0.390497888,0.296276567,1.411999300,1.318018,0.276557,0.209828
200,78.234805,59.448756,249.330405,0.391174025,0.297243778,1.246652023,1.316004,0.313780,0.238434
208,81.354673,61.735558,293.858594,0.391128234,0.296805567,1.412781701,1.317793,0.276850,0.210086
216,84.449314,64.144430,271.550126,0.390969045,0.296964952,1.257176511,1.316549,0.310990,0.236216
224,87.663026,66.369692,315.767256,0.391352793,0.296293269,1.409675250,1.320829,0.277619,0.210185
232,90.657095,68.731502,293.856641,0.390763342,0.296256473,1.266623451,1.319004,0.308508,0.233895
240,93.769750,70.952227,340.253963,0.390707292,0.295634278,1.417724845,1.321590,0.275588,0.208527
248,97.247183,73.342260,316.341751,0.392125736,0.295734918,1.275571576,1.325937,0.307412,0.231845
256,100.112126,75.551546,360.085249,0.391062994,0.295123227,1.406583004,1.325084,0.278023,0.209816
264,102.861945,78.005460,338.954422,0.389628579,0.295475226,1.283918267,1.318651,0.303468,0.230136
272,106.462543,80.262831,382.993878,0.391406406,0.295083939,1.408065726,1.326424,0.277975,0.209567
280,109.422477,82.667456,361.054327,0.390794560,0.295240914,1.289479739,1.323646,0.303064,0.228961
288,112.456647,84.915498,404.937096,0.390474469,0.294845478,1.406031583,1.324336,0.277714,0.209700
296,115.798727,87.405143,383.224745,0.391211915,0.295287646,1.294678192,1.324850,0.302169,0.228078
304,118.788054,89.577424,427.815625,0.390750177,0.294662578,1.407288240,1.326094,0.277662,0.209383
312,121.942133,91.964216,406.045996,0.390840169,0.294757102,1.301429473,1.325974,0.300316,0.226487
320,124.938915,95.199334,452.963919,0.390434109,0.297497918,1.415512247,1.312393,0.275825,0.210170
328,127.855586,96.690786,427.930682,0.389803615,0.294788982,1.304666713,1.322314,0.298776,0.225950
336,131.012657,98.920853,472.299309,0.389918622,0.294407301,1.405652705,1.324419,0.277393,0.209445
344,134.075580,101.544338,450.871695,0.389754594,0.295187030,1.310673531,1.320365,0.297370,0.225218
352,137.086166,103.686188,494.381908,0.389449335,0.294563034,1.404494057,1.322126,0.277288,0.209729
360,140.478200,106.029379,473.210113,0.390217222,0.294526051,1.314472536,1.324899,0.296862,0.224064
368,143.382167,108.216263,518.201485,0.389625455,0.294065932,1.408156209,1.324960,0.276692,0.208830
376,146.735231,110.504012,495.349013,0.390253273,0.293893649,1.317417588,1.327872,0.296226,0.223083
384,149.984125,112.840027,539.720187,0.390583660,0.293854237,1.405521320,1.329175,0.277892,0.209071
392,152.982871,115.133129,517.211882,0.390262426,0.293706961,1.319418066,1.328748,0.295784,0.222603
400,157.016200,117.600368,561.488024,0.392540500,0.294000920,1.403720060,1.335168,0.279643,0.209444
408,160.155343,120.223638,540.176365,0.392537606,0.294665779,1.323961679,1.332145,0.296487,0.222564
416,165.302157,122.110677,584.204581,0.397360954,0.293535281,1.404337934,1.353708,0.282953,0.209020
424,165.401400,124.510832,563.344311,0.390097641,0.293657622,1.328642244,1.328410,0.293606,0.221021
432,168.889501,126.938938,607.109476,0.390947919,0.293840134,1.405346009,1.330478,0.278186,0.209087
440,171.918613,129.818983,585.708851,0.390724120,0.295043144,1.331156479,1.324295,0.293522,0.221644
448,174.982043,132.011340,628.929583,0.390584917,0.294668169,1.403860677,1.325508,0.278222,0.209898
456,178.825119,134.344645,607.242339,0.392160349,0.294615450,1.331671795,1.331092,0.294487,0.221237
