n,scalar_ns,simd_ns,scalar_ns_per_limb,simd_ns_per_limb,speedup
8,3.719655,4.532587,0.464956889,0.566573386,0.820647
16,6.302171,6.124124,0.393885679,0.382757768,1.029073
24,9.074796,8.336672,0.378116505,0.347361353,1.088539
32,12.088806,10.720244,0.377775195,0.335007611,1.127662
40,15.113465,13.187478,0.377836628,0.329686951,1.146047
48,18.419972,15.338908,0.383749412,0.319560585,1.200866
56,21.681350,17.703963,0.387166960,0.316142195,1.224661
64,25.161073,20.263305,0.393141758,0.316614142,1.241706
72,28.396379,22.893333,0.394394154,0.317962964,1.240378
80,32.003040,25.106133,0.400037996,0.313826661,1.274710
88,34.875476,27.724211,0.396312233,0.315047851,1.257943
96,38.212294,29.919681,0.398044726,0.311663347,1.277162
104,41.204773,32.307310,0.396199737,0.310647208,1.275401
112,45.715124,34.473633,0.408170748,0.307800293,1.326090
120,47.875925,37.083272,0.398966043,0.309027263,1.291038
128,50.678649,39.190033,0.395926943,0.306172136,1.293151
136,53.887482,41.612780,0.396231486,0.305976325,1.294974
144,57.441155,43.968267,0.398896910,0.305335186,1.306423
152,60.132312,46.481238,0.395607314,0.305797616,1.293690
160,63.635410,48.754631,0.397721310,0.304716446,1.305218
168,66.777622,51.204687,0.397485845,0.304789801,1.304131
176,69.943955,53.378024,0.397408836,0.303284225,1.310351
184,73.074703,55.700434,0.397145124,0.302719751,1.311923
192,76.498649,58.061436,0.398430464,0.302403311,1.317547
200,79.950314,60.644304,0.399751572,0.303221519,1.318348
208,82.541401,62.922504,0.396833657,0.302512039,1.311795
216,86.001833,65.678068,0.398156635,0.304065130,1.309445
224,89.493828,67.954144,0.399526016,0.303366714,1.316974
232,92.437346,70.306058,0.398436836,0.303043353,1.314785
240,95.988517,72.559334,0.399952155,0.302330558,1.322897
248,98.708059,74.934979,0.398016368,0.302157174,1.317249
256,101.997113,77.139314,0.398426222,0.301325447,1.322246
264,105.320041,79.561466,0.398939548,0.301369190,1.323757
272,108.115819,81.923745,0.397484630,0.301190237,1.319713
280,111.196868,84.470017,0.397131670,0.301678632,1.316406
288,114.744270,86.665203,0.398417603,0.300920845,1.323995
296,117.980542,89.341518,0.398582914,0.301829452,1.320557
304,121.572013,91.605713,0.399907936,0.301334582,1.327123
312,125.266814,94.602201,0.401496199,0.303212183,1.324143
320,128.205516,96.525688,0.400642237,0.301642775,1.328201
328,130.983982,98.772204,0.399341409,0.301134768,1.326122
336,134.241997,101.236347,0.399529754,0.301298652,1.326026
344,137.034900,103.346469,0.398357266,0.300425782,1.325976
352,140.084188,105.833275,0.397966444,0.300662712,1.323631
360,143.634428,108.178165,0.398984521,0.300494902,1.327758
368,146.671631,110.634397,0.398564214,0.300636949,1.325733
376,150.480018,113.565186,0.400212814,0.302035070,1.325054
384,153.278952,115.506312,0.399163938,0.300797686,1.327018
392,156.436198,118.082297,0.399071933,0.301230349,1.324807
400,159.966195,120.284655,0.399915487,0.300711639,1.329897
408,163.289402,123.003973,0.400219123,0.301480326,1.327513
416,168.479915,125.408798,0.404999795,0.301463458,1.343446
424,169.843467,127.667347,0.400574214,0.301102233,1.330359
432,173.414164,130.335330,0.401421675,0.301702152,1.330523
440,176.834098,132.926036,0.401895678,0.302104627,1.330320
448,179.523542,134.946718,0.400722192,0.301220352,1.330329
456,183.097892,137.267844,0.401530466,0.301025974,1.333873
464,186.454150,139.640299,0.401840841,0.300948921,1.335246
472,189.880757,141.720874,0.402289739,0.300256090,1.339822
480,195.510156,143.890673,0.407312826,0.299772235,1.358741
488,196.758058,146.768633,0.403192742,0.300755395,1.340600
496,200.242138,148.821181,0.403713987,0.300042703,1.345522
504,203.575515,151.278982,0.403919673,0.300156710,1.345696
512,214.184860,153.478161,0.418329805,0.299762033,1.395540
520,211.607897,155.872872,0.406938263,0.299755522,1.357567
528,215.713003,158.623575,0.408547354,0.300423437,1.359905
536,219.174650,161.100999,0.408907928,0.300561565,1.360480
544,221.660387,163.516169,0.407463947,0.300581194,1.355587
552,226.152485,165.985343,0.409696531,0.300698085,1.362485
560,228.041945,168.356430,0.407217759,0.300636481,1.354519
568,230.212546,170.597500,0.405303778,0.300347711,1.349449
576,236.098854,173.013434,0.409893843,0.300370545,1.364627
584,237.546282,175.558703,0.406757332,0.300614218,1.353087
592,241.019039,177.772550,0.407126755,0.300291469,1.355772
600,245.743210,180.366887,0.409572017,0.300611478,1.362463
608,247.265214,182.337075,0.406686207,0.299896505,1.356089
616,250.873580,185.087278,0.407262304,0.300466361,1.355434
624,255.299338,187.494760,0.409133554,0.300472373,1.361635
632,258.139166,189.783401,0.408448047,0.300290191,1.360178
640,259.829900,191.969900,0.405984218,0.299952969,1.353493
648,264.117606,194.493724,0.407588898,0.300144636,1.357975
656,266.267263,196.592374,0.405895218,0.299683497,1.354413
664,271.163746,199.307657,0.408379136,0.300162133,1.360528
672,273.685769,201.279171,0.407270490,0.299522576,1.359732
680,275.864522,203.869905,0.405683121,0.299808684,1.353140
688,280.347481,206.825785,0.407481804,0.300618873,1.355476
696,284.554451,209.704590,0.408842602,0.301299698,1.356930
704,285.615027,211.466498,0.405703163,0.300378548,1.350640
712,289.452643,214.161387,0.406534611,0.300788465,1.351563
720,293.266113,216.421731,0.407314046,0.300585737,1.355068
728,296.862638,218.628715,0.407778350,0.300314169,1.357839
736,299.046079,220.989338,0.406312607,0.300257253,1.353215
744,302.484375,223.694568,0.406565020,0.300664743,1.352220
752,305.244014,225.692233,0.405909593,0.300122650,1.352479
760,309.338507,228.311664,0.407024352,0.300410084,1.354896
768,312.889063,230.524800,0.407407633,0.300162500,1.357290
776,315.595113,233.368004,0.406694734,0.300731964,1.352350
784,319.840030,235.475799,0.407959222,0.300351784,1.358271
792,322.666989,237.927611,0.407407814,0.300413650,1.356156
800,324.613430,240.287324,0.405766787,0.300359155,1.350939
808,328.195476,242.385820,0.406182520,0.299982451,1.354021
816,331.666851,245.064866,0.406454474,0.300324591,1.353384
824,334.246552,247.216694,0.405639020,0.300020260,1.352039
832,338.922044,249.726978,0.407358226,0.300152618,1.357170
840,341.463182,251.872068,0.406503788,0.299847700,1.355701
848,343.981799,254.269563,0.405638914,0.299846183,1.352823
856,348.743611,257.185445,0.407410760,0.300450286,1.356001
864,351.107160,259.244216,0.406374027,0.300051176,1.354349
872,354.670401,261.649983,0.406732111,0.300057319,1.355515
880,357.274834,263.704793,0.405994129,0.299664537,1.354829
888,360.702524,265.962730,0.406196536,0.299507579,1.356215
