an,bn,ratio,dispatch_ns,toom32_ns,speedup
60,30,0.5000,53.3,128.4,0.4151
60,32,0.5333,56.1,131.9,0.4255
60,34,0.5667,60.2,133.0,0.4529
60,36,0.6000,63.5,132.1,0.4808
60,38,0.6333,66.6,131.8,0.5053
60,40,0.6667,69.5,133.5,0.5209
60,42,0.7000,73.1,132.8,0.5505
60,44,0.7333,76.8,144.8,0.5307
64,32,0.5000,60.0,133.4,0.4499
64,34,0.5312,62.8,135.5,0.4630
64,36,0.5625,66.6,142.9,0.4660
64,38,0.5938,70.2,136.3,0.5147
64,40,0.6250,73.9,145.2,0.5087
64,42,0.6562,77.4,140.6,0.5508
64,44,0.6875,81.0,140.2,0.5775
64,46,0.7188,84.8,149.8,0.5658
64,48,0.7500,88.5,140.1,0.6321
68,34,0.5000,67.6,139.6,0.4842
68,36,0.5294,71.6,140.5,0.5098
68,38,0.5588,75.2,137.1,0.5484
68,40,0.5882,78.4,138.3,0.5665
68,42,0.6176,82.4,140.2,0.5877
68,44,0.6471,86.8,141.3,0.6147
68,46,0.6765,90.3,141.8,0.6367
68,48,0.7059,93.6,133.4,0.7016
68,50,0.7353,97.5,163.8,0.5954
72,36,0.5000,74.9,137.3,0.5456
72,38,0.5278,79.1,130.2,0.6075
72,40,0.5556,83.2,132.0,0.6302
72,42,0.5833,86.5,133.2,0.6494
72,44,0.6111,90.7,134.3,0.6751
72,46,0.6389,95.0,135.7,0.7003
72,48,0.6667,99.0,144.9,0.6827
72,50,0.6944,102.2,169.0,0.6050
72,52,0.7222,106.9,171.0,0.6251
72,54,0.7500,111.4,173.5,0.6419
76,38,0.5000,84.5,159.0,0.5313
76,40,0.5263,87.9,166.7,0.5275
76,42,0.5526,92.9,167.7,0.5539
76,44,0.5789,97.2,162.1,0.5998
76,46,0.6053,104.4,181.6,0.5748
76,48,0.6316,111.5,182.9,0.6098
76,50,0.6579,109.3,182.6,0.5986
76,52,0.6842,114.0,184.1,0.6194
76,54,0.7105,117.6,193.8,0.6067
76,56,0.7368,121.7,187.8,0.6480
80,40,0.5000,92.2,166.6,0.5539
80,42,0.5250,96.4,179.1,0.5381
80,44,0.5500,100.7,185.8,0.5420
80,46,0.5750,108.7,180.6,0.6018
80,48,0.6000,117.0,188.3,0.6212
80,50,0.6250,113.7,182.5,0.6230
80,52,0.6500,118.3,190.9,0.6198
80,54,0.6750,122.8,187.2,0.6559
80,56,0.7000,127.0,191.3,0.6640
80,58,0.7250,131.4,203.7,0.6454
80,60,0.7500,136.1,209.1,0.6510
84,42,0.5000,100.8,173.9,0.5799
84,44,0.5238,106.0,184.0,0.5759
84,46,0.5476,110.2,177.6,0.6207
84,48,0.5714,114.4,182.5,0.6270
84,50,0.5952,119.3,178.3,0.6693
84,52,0.6190,124.5,181.6,0.6854
84,54,0.6429,128.8,185.7,0.6939
84,56,0.6667,132.7,191.6,0.6929
84,58,0.6905,138.0,186.4,0.7405
84,60,0.7143,143.1,203.2,0.7043
84,62,0.7381,149.0,208.1,0.7159
88,44,0.5000,109.8,183.8,0.5972
88,46,0.5227,115.0,185.2,0.6207
88,48,0.5455,119.8,193.7,0.6186
88,50,0.5682,124.1,194.4,0.6383
88,52,0.5909,129.4,188.9,0.6849
88,54,0.6136,134.2,190.0,0.7059
88,56,0.6364,139.5,200.7,0.6951
88,58,0.6591,148.0,203.3,0.7276
88,60,0.6818,152.2,203.9,0.7462
88,62,0.7045,157.0,200.7,0.7824
88,64,0.7273,158.9,193.6,0.8205
88,66,0.7500,167.6,212.3,0.7895
92,46,0.5000,120.4,190.1,0.6330
92,48,0.5217,124.8,196.3,0.6360
92,50,0.5435,132.3,190.9,0.6927
92,52,0.5652,136.0,201.1,0.6761
92,54,0.5870,144.1,203.8,0.7069
92,56,0.6087,148.9,197.1,0.7556
92,58,0.6304,154.4,207.1,0.7453
92,60,0.6522,160.0,209.8,0.7628
92,62,0.6739,164.0,211.9,0.7740
92,64,0.6957,169.6,185.5,0.9140
92,66,0.7174,176.3,228.9,0.7701
92,68,0.7391,181.3,224.0,0.8092
96,48,0.5000,130.6,178.5,0.7316
96,50,0.5208,135.2,177.1,0.7635
96,52,0.5417,142.6,177.6,0.8027
96,54,0.5625,147.1,179.7,0.8185
96,56,0.5833,151.5,185.5,0.8171
96,58,0.6042,160.6,199.7,0.8043
96,60,0.6250,165.9,185.6,0.8939
96,62,0.6458,171.2,188.0,0.9107
96,64,0.6667,173.6,190.4,0.9114
96,66,0.6875,178.2,231.9,0.7684
96,68,0.7083,187.6,238.3,0.7872
96,70,0.7292,189.3,243.0,0.7789
96,72,0.7500,195.1,235.2,0.8294
100,50,0.5000,145.0,216.9,0.6686
100,52,0.5200,147.4,218.1,0.6756
100,54,0.5400,156.0,219.5,0.7106
100,56,0.5600,161.0,229.7,0.7011
100,58,0.5800,167.3,229.2,0.7300
100,60,0.6000,169.3,233.8,0.7238
100,62,0.6200,178.1,226.8,0.7854
100,64,0.6400,182.9,236.9,0.7721
100,66,0.6600,190.3,232.4,0.8191
100,68,0.6800,192.5,234.0,0.8226
100,70,0.7000,200.8,246.2,0.8155
100,72,0.7200,205.9,249.3,0.8257
100,74,0.7400,212.5,258.8,0.8213
104,52,0.5000,155.6,232.9,0.6683
104,54,0.5192,161.6,225.3,0.7174
104,56,0.5385,163.9,226.4,0.7239
104,58,0.5577,172.8,236.4,0.7309
104,60,0.5769,178.5,238.7,0.7477
104,62,0.5962,184.8,235.8,0.7834
104,64,0.6154,186.5,236.9,0.7873
104,66,0.6346,196.8,244.9,0.8036
104,68,0.6538,202.2,248.2,0.8147
104,70,0.6731,208.5,242.4,0.8602
104,72,0.6923,211.2,255.0,0.8281
104,74,0.7115,220.1,261.7,0.8410
104,76,0.7308,224.9,268.4,0.8381
104,78,0.7500,231.2,273.6,0.8449
108,54,0.5000,167.9,226.7,0.7405
108,56,0.5185,173.4,239.9,0.7227
108,58,0.5370,180.0,232.4,0.7744
108,60,0.5556,183.1,234.8,0.7795
108,62,0.5741,192.3,237.8,0.8086
108,64,0.5926,197.1,248.2,0.7943
108,66,0.6111,204.7,242.3,0.8451
108,68,0.6296,207.3,253.7,0.8169
108,70,0.6481,216.7,248.4,0.8724
108,72,0.6667,222.2,257.7,0.8622
108,74,0.6852,228.6,267.3,0.8553
108,76,0.7037,230.8,260.0,0.8877
108,78,0.7222,236.4,275.0,0.8596
108,80,0.7407,242.3,262.6,0.9227
112,56,0.5000,176.4,247.4,0.7133
112,58,0.5179,181.7,256.7,0.7078
112,60,0.5357,188.7,248.9,0.7581
112,62,0.5536,194.9,250.0,0.7795
