an,bn,ratio,dispatch_ns,toom32_ns,speedup
60,30,0.5000,52.9,131.1,0.4035
60,32,0.5333,56.2,132.4,0.4245
60,34,0.5667,58.8,131.8,0.4465
60,36,0.6000,63.3,133.1,0.4758
60,38,0.6333,66.6,135.0,0.4936
60,40,0.6667,69.5,134.2,0.5174
60,42,0.7000,73.2,136.2,0.5377
60,44,0.7333,76.9,146.5,0.5248
64,32,0.5000,59.9,133.5,0.4487
64,34,0.5312,62.8,140.2,0.4484
64,36,0.5625,66.5,144.3,0.4607
64,38,0.5938,70.1,144.6,0.4850
64,40,0.6250,73.9,147.4,0.5010
64,42,0.6562,77.4,143.8,0.5378
64,44,0.6875,81.0,143.0,0.5667
64,46,0.7188,84.9,154.6,0.5491
64,48,0.7500,88.6,146.9,0.6032
68,34,0.5000,67.4,142.9,0.4717
68,36,0.5294,71.5,144.8,0.4942
68,38,0.5588,75.0,142.2,0.5275
68,40,0.5882,78.3,144.7,0.5413
68,42,0.6176,82.4,147.2,0.5600
68,44,0.6471,86.6,147.8,0.5861
68,46,0.6765,89.8,149.9,0.5994
68,48,0.7059,93.1,139.9,0.6657
68,50,0.7353,97.3,171.3,0.5680
72,36,0.5000,74.4,143.7,0.5177
72,38,0.5278,78.7,139.1,0.5660
72,40,0.5556,82.7,138.3,0.5982
72,42,0.5833,86.4,139.4,0.6197
72,44,0.6111,90.5,140.2,0.6458
72,46,0.6389,94.8,141.0,0.6723
72,48,0.6667,98.9,147.7,0.6699
72,50,0.6944,102.0,170.9,0.5971
72,52,0.7222,106.8,171.7,0.6220
72,54,0.7500,111.3,177.5,0.6272
76,38,0.5000,83.6,160.9,0.5198
76,40,0.5263,87.5,167.6,0.5221
76,42,0.5526,91.7,169.9,0.5398
76,44,0.5789,96.5,163.9,0.5890
76,46,0.6053,103.6,185.2,0.5594
76,48,0.6316,110.9,186.7,0.5941
76,50,0.6579,108.1,182.4,0.5928
76,52,0.6842,112.9,183.7,0.6146
76,54,0.7105,116.5,190.8,0.6107
76,56,0.7368,120.5,186.5,0.6460
80,40,0.5000,91.9,167.7,0.5476
80,42,0.5250,95.6,179.1,0.5337
80,44,0.5500,100.3,184.2,0.5444
80,46,0.5750,108.3,181.6,0.5961
80,48,0.6000,116.4,186.9,0.6226
80,50,0.6250,112.7,181.5,0.6210
80,52,0.6500,117.8,190.2,0.6192
80,54,0.6750,122.4,187.1,0.6540
80,56,0.7000,127.1,186.9,0.6801
80,58,0.7250,130.7,200.8,0.6508
80,60,0.7500,135.3,204.6,0.6614
84,42,0.5000,100.9,172.0,0.5868
84,44,0.5238,106.0,180.4,0.5874
84,46,0.5476,110.3,173.6,0.6355
84,48,0.5714,114.4,176.4,0.6483
84,50,0.5952,119.5,174.1,0.6863
84,52,0.6190,124.7,178.4,0.6990
84,54,0.6429,128.9,182.4,0.7067
84,56,0.6667,132.8,184.4,0.7200
84,58,0.6905,137.6,185.4,0.7422
84,60,0.7143,143.4,199.5,0.7186
84,62,0.7381,147.4,202.3,0.7288
88,44,0.5000,109.7,183.5,0.5981
88,46,0.5227,114.8,183.9,0.6246
88,48,0.5455,120.1,192.7,0.6233
88,50,0.5682,123.9,186.3,0.6650
88,52,0.5909,129.2,187.0,0.6909
88,54,0.6136,134.2,188.1,0.7133
88,56,0.6364,139.2,199.1,0.6991
88,58,0.6591,143.4,202.6,0.7078
88,60,0.6818,148.5,202.8,0.7324
88,62,0.7045,153.5,200.2,0.7671
88,64,0.7273,163.5,184.7,0.8852
88,66,0.7500,163.0,208.0,0.7838
